current_filename,subspecialty,extracted_author,extracted_year,extracted_journal,extracted_title,suggested_filename,confidence,confidence_level,status
"JAAOS 2014 Blood management TKA.pdf",GENERAL,"",2014,"JAAOS","JAAOS 2014 Blood management TKA","2014_Unknown_JAAOS_Jaaos 2014 Blood Management Tka",0.75,high,pending
"JAAOS 2014 Blood mgmt TKA.pdf",GENERAL,"",2014,"JAAOS","JAAOS 2014 Blood mgmt TKA","2014_Unknown_JAAOS_Jaaos 2014 Blood Mgmt Tka",0.75,high,pending
"JAAOS 2014 Post et al Direct Anterior Approach Total Hip.pdf",GENERAL,"Post",2014,"JAAOS","JAAOS 2014 Post et al Direct Anterior Approach Total Hip","2014_Post_JAAOS_Jaaos 2014 Post Et Al Direct Anterior Approach",1.00,high,pending
"JAAOS 2015 Osteolysis after TKA.pdf",GENERAL,"Dalling",2015,"JAAOS","JAAOS 2015 Osteolysis after TKA","2015_Dalling_JAAOS_Jaaos 2015 Osteolysis after Tka",1.00,high,pending
"JAAOS_two-stage_revision_arthroplasty_PJI.pdf",GENERAL,"Dhotar",2014,"revision","arthroplasty PJI","2014_Dhotar_revision_Arthroplasty Pji",1.00,high,pending
"Jackson_2010_Arthroscopy_A_History_of_Arthroscopy.pdf",GENERAL,"Jackson",2010,"Arthroscopy","A History of Arthroscopy","2010_Jackson_Arthroscopy_A History of Arthroscopy",1.00,high,pending
"JBJS 1932 Arthrokatatysis of The Hip Joint.pdf",GENERAL,"Oakland",1955,"JBJS","JBJS 1932 Arthrokatatysis of The Hip Joint","1955_Oakland_JBJS_Jbjs 1932 Arthrokatatysis of the Hip Joint",1.00,high,pending
"JBJS 1932 Intrapelvic Protrusion of the Acetabulum.pdf",GENERAL,"Pomeranz",1980,"JBJS","JBJS 1932 Intrapelvic Protrusion of the Acetabulum","1980_Pomeranz_JBJS_Jbjs 1932 Intrapelvic Protrusion of the Acetabulum",1.00,high,pending
"JBJS 1940 Metal Hip Joint.pdf",GENERAL,"",,"JBJS","JBJS 1940 Metal Hip Joint","Unknown_Unknown_JBJS_Jbjs 1940 Metal Hip Joint",0.50,medium,pending
"JBJS 2003 Door et al Symposium on MIS total hip.pdf",GENERAL,"Charleston",2003,"JBJS","JBJS 2003 Door et al Symposium on MIS total hip","2003_Charleston_JBJS_Jbjs 2003 Door Et Al Symposium on Mis Total Hip",1.00,high,pending
"JBJS 2005 Bal et al early complications of MIs total hip 2 incision.pdf",GENERAL,"",2005,"JBJS","JBJS 2005 Bal et al early complications of MIs total hip 2 incision","2005_Unknown_JBJS_Jbjs 2005 Bal Et Al Early Complications of M Is",0.75,high,pending
"JBJS 2005 Constraint in primary TKA.pdf",GENERAL,"Leopold",2005,"JBJS","JBJS 2005 Constraint in primary TKA","2005_Leopold_JBJS_Jbjs 2005 Constraint in Primary Tka",1.00,high,pending
"JBJS 2007 Dorr et al early outcomes of Mis total hip vs traditional.pdf",GENERAL,"Dorr",2007,"JBJS","JBJS 2007 Dorr et al early outcomes of Mis total hip vs traditional","2007_Dorr_JBJS_Jbjs 2007 Dorr Et Al Early Outcomes of Mis Total",1.00,high,pending
"JBJS 2007 keeting, knee MUA .pdf",GENERAL,"Ritter",2007,"JBJS","JBJS 2007 keeting, knee MUA ","2007_Ritter_JBJS_Jbjs 2007 Keeting Knee Mua",1.00,high,pending
"JBJS 2007 Pour et al MIS Total Hip Patient preconditioning.pdf",GENERAL,"Sharkey",2007,"JBJS","JBJS 2007 Pour et al MIS Total Hip Patient preconditioning","2007_Sharkey_JBJS_Jbjs 2007 Pour Et Al Mis Total Hip Patient",1.00,high,pending
"JBJS 2010 15 year mechanical axis.pdf",GENERAL,"Pagnano",1985,"JBJS","JBJS 2010 15 year mechanical axis","1985_Pagnano_JBJS_Jbjs 2010 15 Year Mechanical Axis",1.00,high,pending
"JBJS 2010 MIS total hip vs transgluteal.pdf",GENERAL,"Pospischill",,"JBJS","JBJS 2010 MIS total hip vs transgluteal","Unknown_Pospischill_JBJS_Jbjs 2010 Mis Total Hip vs Transgluteal",0.75,high,pending
"JBJS 2011 Bergin et al MIS Anterior total hip vs posterior.pdf",GENERAL,"Bergin",,"JBJS","JBJS 2011 Bergin et al MIS Anterior total hip vs posterior","Unknown_Bergin_JBJS_Jbjs 2011 Bergin Et Al Mis Anterior Total Hip vs",0.75,high,pending
"JBJS 2011 Cementless femoral fixation THA.pdf",GENERAL,"Khanuja",1981,"JBJS","JBJS 2011 Cementless femoral fixation THA","1981_Khanuja_JBJS_Jbjs 2011 Cementless Femoral Fixation Tha",1.00,high,pending
"JBJS 2011 Mesh extensor mechanism TKA (1).pdf",GENERAL,"Browne",,"JBJS","JBJS 2011 Mesh extensor mechanism TKA (1)","Unknown_Browne_JBJS_Jbjs 2011 Mesh Extensor Mechanism Tka 1",0.75,high,pending
"JBJS 2011 Mesh extensor TKA (1).pdf",GENERAL,"Browne",,"JBJS","JBJS 2011 Mesh extensor TKA (1)","Unknown_Browne_JBJS_Jbjs 2011 Mesh Extensor Tka 1",0.75,high,pending
"JBJS 2011 Mesh extensor TKA (1)_1.pdf",GENERAL,"Browne",,"JBJS","Reconstruction of Patellar Tendon Disruption","Unknown_Browne_JBJS_Reconstruction of Patellar Tendon Disruption",0.75,high,pending
"JBJS 2011 meta analysis TXA use is safe and effective.pdf",GENERAL,"Hospital",2011,"JBJS","JBJS 2011 meta analysis TXA use is safe and effective","2011_Hospital_JBJS_Jbjs 2011 Meta Analysis Txa Use Is Safe and",1.00,high,pending
"JBJS 2012 Is measured resection better.pdf",GENERAL,"Pellenberg",2012,"JBJS","JBJS 2012 Is measured resection better","2012_Pellenberg_JBJS_Jbjs 2012 Is Measured Resection Better",1.00,high,pending
"JBJS 2013 predictors of arthroplasty blood loss.pdf",GENERAL,"Rasouli",2000,"JBJS","JBJS 2013 predictors of arthroplasty blood loss","2000_Rasouli_JBJS_Jbjs 2013 Predictors of Arthroplasty Blood Loss",1.00,high,pending
"JBJS 2013 Whats new in tka.pdf",GENERAL,"Deirmengian",2011,"JBJS","JBJS 2013 Whats new in tka","2011_Deirmengian_JBJS_Jbjs 2013 Whats New in Tka",1.00,high,pending
"JBJS 2014 alpha defensin CRP synovial fluid periprosthetic infection.pdf",GENERAL,"",,"JBJS","JBJS 2014 alpha defensin CRP synovial fluid periprosthetic infection","Unknown_Unknown_JBJS_Jbjs 2014 Alpha Defens in Crp Synovial Fluid",0.50,medium,pending
"JBJS 2014 leukocyte esterase strip test synovial fluid.pdf",GENERAL,"",2009,"JBJS","JBJS 2014 leukocyte esterase strip test synovial fluid","2009_Unknown_JBJS_Jbjs 2014 Leukocyte Esterase Strip Test Synovial",0.75,high,pending
"JBJS 2018 abdel marlex mesh .pdf",GENERAL,"Abdel",2018,"JBJS","JBJS 2018 abdel marlex mesh ","2018_Abdel_JBJS_Jbjs 2018 Abdel Marlex Mesh",1.00,high,pending
"JBJS 2018 perry 2 stage exchange and marlex mech .pdf",GENERAL,"Perry",2018,"JBJS","JBJS 2018 perry 2 stage exchange and marlex mech ","2018_Perry_JBJS_Jbjs 2018 Perry 2 Stage Exchange and Marlex Mech",1.00,high,pending
"JBJS ICL 2003 DDH 1.pdf",GENERAL,"Davids",2003,"JBJS","JBJS ICL 2003 DDH 1","2003_Davids_JBJS_Jbjs Icl 2003 Ddh 1",1.00,high,pending
"JBJS ICL 2003 DDH 2.pdf",GENERAL,"",2003,"JBJS","JBJS ICL 2003 DDH 2","2003_Unknown_JBJS_Jbjs Icl 2003 Ddh 2",0.75,high,pending
"JBJS ICL 2010 Achieving Stability in Leg length in THA.pdf",GENERAL,"Berend",,"JBJS","JBJS ICL 2010 Achieving Stability in Leg length in THA","Unknown_Berend_JBJS_Jbjs Icl 2010 Achieving Stability in Leg Length",0.75,high,pending
"Jensen_2024_Unknown_Foot_&_Ankle_International®.pdf",GENERAL,"Jensen",2024,"CORR","Foot & Ankle International®","2024_Jensen_CORR_Foot and Ankle International®",1.00,high,pending
"JOA 2009 infection rates morbid obese, diabetic younger patient.pdf",GENERAL,"Malinzak",2009,"JArthroplasty","JOA 2009 infection rates morbid obese, diabetic younger patient","2009_Malinzak_JArthroplasty_Joa 2009 Infection Rates Morbid Obese Diabetic",1.00,high,pending
"JOA 2012 della valle, brown, betadine solution .pdf",GENERAL,"Cipriano",2012,"JArthroplasty","JOA 2012 della valle, brown, betadine solution ","2012_Cipriano_JArthroplasty_Joa 2012 Della Valle Brown Betadine Solution",1.00,high,pending
"JOA 2013 primary rotating hinge arthroplasty mid-term followup.pdf",GENERAL,"",2014,"JArthroplasty","JOA 2013 primary rotating hinge arthroplasty mid term followup","2014_Unknown_JArthroplasty_Joa 2013 Primary Rotating Hinge Arthroplasty Mid",0.75,high,pending
"JOA 2013 topical TXA reduces blood loss TKA and THA.pdf",GENERAL,"Hamlin",2013,"JArthroplasty","JOA 2013 topical TXA reduces blood loss TKA and THA","2013_Hamlin_JArthroplasty_Joa 2013 Topical Txa Reduces Blood Loss Tka and",1.00,high,pending
"JOA 2013 TXA and transfusion rates THA.pdf",GENERAL,"Wind",2014,"JArthroplasty","JOA 2013 TXA and transfusion rates THA","2014_Wind_JArthroplasty_Joa 2013 Txa and Transfusion Rates Tha",1.00,high,pending
"JOA 2014 predictors of increased LHS TKA.pdf",GENERAL,"Halawi",2014,"JArthroplasty","JOA 2014 predictors of increased LHS TKA","2014_Halawi_JArthroplasty_Joa 2014 Predictors of Increased Lhs Tka",1.00,high,pending
"JOA 2015 gap differences in CR vs PS TKA.pdf",GENERAL,"",2014,"JArthroplasty","JOA 2015 gap differences in CR vs PS TKA","2014_Unknown_JArthroplasty_Joa 2015 Gap Differences in Cr vs Ps Tka",0.75,high,pending
"JOA 2015 length of stay costs TKA.pdf",GENERAL,"Culler",2014,"JArthroplasty","JOA 2015 length of stay costs TKA","2014_Culler_JArthroplasty_Joa 2015 Length of Stay Costs Tka",1.00,high,pending
"JOA 2015 mechanical VTE ppx is safe in selected patients TKA.pdf",GENERAL,"Hamilton",2014,"JArthroplasty","JOA 2015 mechanical VTE ppx is safe in selected patients TKA","2014_Hamilton_JArthroplasty_Joa 2015 Mechanical Vte Ppx Is Safe in Selected",1.00,high,pending
"JOA 2015 Medicare arthroplasty costs.pdf",GENERAL,"Nwachukwu",2014,"JArthroplasty","JOA 2015 Medicare arthroplasty costs","2014_Nwachukwu_JArthroplasty_Joa 2015 Medicare Arthroplasty Costs",1.00,high,pending
"JOA 2015 Medicare transparency confuses patients.pdf",GENERAL,"Pugely",2014,"JArthroplasty","JOA 2015 Medicare transparency confuses patients","2014_Pugely_JArthroplasty_Joa 2015 Medicare Transparency Confuses Patients",1.00,high,pending
"JOA 2015 MOM Hip resurfacing results.pdf",GENERAL,"Zylberberg",2014,"JArthroplasty","JOA 2015 MOM Hip resurfacing results","2014_Zylberberg_JArthroplasty_Joa 2015 Mom Hip Resurfacing Results",1.00,high,pending
"JOA 2015 Pregabalin and celecoxib prop decreases postop pain TKA.pdf",GENERAL,"",2014,"JArthroplasty","JOA 2015 Pregabalin and celecoxib prop decreases postop pain TKA","2014_Unknown_JArthroplasty_Joa 2015 Pregabalin and Celecoxib Prop Decreases",0.75,high,pending
"JOA 2015 previous osteotomy has minimal effects on THA survivorship.pdf",GENERAL,"",2014,"JArthroplasty","JOA 2015 previous osteotomy has minimal effects on THA survivorship","2014_Unknown_JArthroplasty_Joa 2015 Previous Osteotomy Has Minimal Effects",0.75,high,pending
"JOA 2015 regionalization in arthroplasty.pdf",GENERAL,"Marx",2014,"JArthroplasty","JOA 2015 regionalization in arthroplasty","2014_Marx_JArthroplasty_Joa 2015 Regionalization in Arthroplasty",1.00,high,pending
"JOA 2015 robotic THA learning curve.pdf",GENERAL,"Redmond",2014,"JArthroplasty","JOA 2015 robotic THA learning curve","2014_Redmond_JArthroplasty_Joa 2015 Robotic Tha Learning Curve",1.00,high,pending
"JOA 2015 screw augmentation in revision TKA.pdf",GENERAL,"Berend",2014,"JArthroplasty","JOA 2015 screw augmentation in revision TKA","2014_Berend_JArthroplasty_Joa 2015 Screw Augmentation in Revision Tka",1.00,high,pending
"JOA 2015 sicker patients THA and TKA costs more.pdf",GENERAL,"",2014,"JArthroplasty","JOA 2015 sicker patients THA and TKA costs more","2014_Unknown_JArthroplasty_Joa 2015 Sicker Patients Tha and Tka Costs More",0.75,high,pending
"JOA 2015 sports activity after CR TKA.pdf",GENERAL,"Mayr",2014,"JArthroplasty","JOA 2015 sports activity after CR TKA","2014_Mayr_JArthroplasty_Joa 2015 Sports Activity after Cr Tka",1.00,high,pending
"JOA 2015 Systematic review TKA drop tourniquet prior to closure.pdf",GENERAL,"Zan",2014,"JArthroplasty","JOA 2015 Systematic review TKA drop tourniquet prior to closure","2014_Zan_JArthroplasty_Joa 2015 Systematic Review Tka Drop Tourniquet",1.00,high,pending
"JOA 2015 THA drain improves recovery.pdf",GENERAL,"",2014,"JArthroplasty","JOA 2015 THA drain improves recovery","2014_Unknown_JArthroplasty_Joa 2015 Tha Drain Improves Recovery",0.75,high,pending
"JOA li 2016 subtroch osteotomy in adult DDH 5 10 yr fu .pdf",GENERAL,"",2016,"JArthroplasty","JOA li 2016 subtroch osteotomy in adult DDH 5 10 yr fu ","2016_Unknown_JArthroplasty_Joa Li 2016 Subtroch Osteotomy in Adult Ddh 5 10",0.75,high,pending
"JOCOT 2016 surgical approaches for total knee arthroplasty .pdf",GENERAL,"Consultant",2015,"CORR","JOCOT 2016 surgical approaches for total knee arthroplasty ","2015_Consultant_CORR_Jocot 2016 Surgical Approaches for Total Knee",1.00,high,pending
"JOS 2002 modified hardinge .pdf",GENERAL,"",1982,"CORR","JOS 2002 modified hardinge ","1982_Unknown_CORR_Jos 2002 Modified Hardinge",0.75,high,pending
"JOT THA after fracture Elderly .pdf",GENERAL,"Vallier",2014,"JOT","JOT THA after fracture Elderly ","2014_Vallier_JOT_Jot Tha after Fracture Elderly",1.00,high,pending
"JOT_PeriprostheticTKA.pdf",GENERAL,"Schemitsch",,"JOT","PeriprostheticTKA","Unknown_Schemitsch_JOT_Periprosthetic Tka",0.75,high,pending
"Kevin_2012_Orthopedics_Resistance_Exercise_for_Knee_Osteoarthritis.pdf",GENERAL,"Kevin",2012,"Orthopedics","Resistance Exercise for Knee Osteoarthritis","2012_Kevin_Orthopedics_Resistance Exercise for Knee Osteoarthritis",1.00,high,pending
"Kim_2004_CORR_Anterolateral_Mini-incision_Hip_Replacement_Surgery.pdf",GENERAL,"Kim",2004,"CORR","Anterolateral Mini incision Hip Replacement Surgery","2004_Kim_CORR_Anterolateral Mini Incision Hip Replacement",1.00,high,pending
"KneeSurg 2014 intraarticular TXA in TKA Meta analysis.pdf",GENERAL,"University",2013,"KSSTA","KneeSurg 2014 intraarticular TXA in TKA Meta analysis","2013_University_KSSTA_Knee Surg 2014 Intraarticular Txa in Tka Meta",1.00,high,pending
"KneeSurg 2016 Balancing Mobile Bearing Uni.pdf",GENERAL,"",2016,"KSSTA","KneeSurg 2016 Balancing Mobile Bearing Uni","2016_Unknown_KSSTA_Knee Surg 2016 Balancing Mobile Bearing Uni",0.75,high,pending
"Kurt_2005_JAAOS_Reading_and_Reviewing_the_Orthopaedic_Literature.pdf",GENERAL,"Kurt",2005,"JAAOS","Reading and Reviewing the Orthopaedic Literature","2005_Kurt_JAAOS_Reading and Reviewing the Orthopaedic Literature",1.00,high,pending
"lateral parapatellar satish2013.pdf",GENERAL,"",2013,"JArthroplasty","lateral parapatellar satish2013","2013_Unknown_JArthroplasty_Lateral Parapatellar Satish2013",0.75,high,pending
"Lateral Unicompartmental Knee Arthroplasty.pdf",GENERAL,"",2020,"JBJS","Lateral Unicompartmental Knee Arthroplasty","2020_Unknown_JBJS_Lateral Unicompartmental Knee Arthroplasty",0.75,high,pending
"LegLengthDiscrepancyAfterTHA.pdf",GENERAL,"",2006,"JAAOS","LegLengthDiscrepancyAfterTHA","2006_Unknown_JAAOS_Leg Length Discrepancy after Tha",0.75,high,pending
"Leg_Length_Discrepancy_After_Total_Hip.7.pdf",GENERAL,"Leg",2006,"Discrepancy","After Total Hip.7","2006_Leg_Discrepancy_After Total Hip.7",1.00,high,pending
"Leorzard_1936_Unknown_The_Long-_Term_Results_of_Low-_Friction.pdf",GENERAL,"Leorzard",1936,"JBJS","The Long  Term Results of Low  Friction","1936_Leorzard_JBJS_The Long Term Results of Low Friction",1.00,high,pending
"Liporace JOT semiconstrained TKA in dislocation.pdf",GENERAL,"Liporace",,"JOT","Liporace JOT semiconstrained TKA in dislocation","Unknown_Liporace_JOT_Liporace Jot Semiconstrained Tka in Dislocation",0.75,high,pending
"liu2001 lateral parapatellar .pdf",GENERAL,"",,"CORR","liu2001 lateral parapatellar ","Unknown_Unknown_CORR_Liu2001 Lateral Parapatellar",0.50,medium,pending
"Lose Dose ASA is Effective Chemoprophylaxis Against Clinically Important Thromboembolism.pdf",GENERAL,"Shaw",2013,"JAAOS","Lose Dose ASA is Effective Chemoprophylaxis Against Clinically Important Thromboembolism","2013_Shaw_JAAOS_Lose Dose Asa Is Effective Chemoprophylaxis",1.00,high,pending
"ManagementofPatientsUndergoingSameDayDischargePrimaryTJA.pdf",GENERAL,"",2020,"","ManagementofPatientsUndergoingSameDayDischargePrimaryTJA","2020_Unknown_Unknown_Management of Patients Undergoing Same Day",0.50,medium,pending
"Management_of_Extra_articular_Deformity_in_the.4.pdf",GENERAL,"Management",2019,"Extra","articular Deformity in the.4","2019_Management_Extra_Articular Deformity in The.4",1.00,high,pending
"Management_of_the_Failed_Medial_Unicompartmental.2.pdf",GENERAL,"Management",2018,"the","Failed Medial Unicompartmental.2","2018_Management_the_Failed Medial Unicompartmental.2",1.00,high,pending
"MANAGING ANTIRHEUMATOLOGY MEDICATIONS GUIDELINES-1.pdf",GENERAL,"",2017,"JBJS","MANAGING ANTIRHEUMATOLOGY MEDICATIONS GUIDELINES 1","2017_Unknown_JBJS_Managing Antirheumatology Medications Guidelines 1",0.75,high,pending
"ManipulationUnderAnesthesiaTKA.pdf",GENERAL,"",2018,"JBJS","ManipulationUnderAnesthesiaTKA","2018_Unknown_JBJS_Manipulation under Anesthesia Tka",0.75,high,pending
"MeasuredResection_GapBalance_Hybrid.pdf",GENERAL,"Sheth",2017,"JAAOS","GapBalance Hybrid","2017_Sheth_JAAOS_Gap Balance Hybrid",1.00,high,pending
"Medial_Unicompartmental_Arthroplasty_of_the_Knee.3.pdf",GENERAL,"Medial",2018,"Arthroplasty","of the Knee.3","2018_Medial_Arthroplasty_Of the Knee.3",1.00,high,pending
"Metabolism_1992_Unknown_Sports_Medicine_13_(2)_99-107,_1992.pdf",GENERAL,"Metabolism",1992,"","Sports Medicine 13 (2) 99 107, 1992","1992_Metabolism_Unknown_Sports Medicine 13 2 99 107 1992",0.75,high,pending
"MetalHypersensitivityinTotalJointArthroplasty.pdf",GENERAL,"",2018,"JBJS","MetalHypersensitivityinTotalJointArthroplasty","2018_Unknown_JBJS_Metal Hypersensitivity in Total Joint Arthroplasty",0.75,high,pending
"metaphyseal fixation in revision TKA.pdf",GENERAL,"Haidukewych",2011,"JAAOS","metaphyseal fixation in revision TKA","2011_Haidukewych_JAAOS_Metaphyseal Fixation in Revision Tka",1.00,high,pending
"MetaphysealFixationinRevisionTKA.pdf",GENERAL,"Haidukewych",2011,"JAAOS","MetaphysealFixationinRevisionTKA","2011_Haidukewych_JAAOS_Metaphyseal Fixation in Revision Tka",1.00,high,pending
"Metaphyseal_Fixation_in_Revision_Total_Knee.1.pdf",GENERAL,"Metaphyseal",2011,"in","Revision Total Knee.1","2011_Metaphyseal_in_Revision Total Knee.1",1.00,high,pending
"Meyer_1924_Unknown_FURTHER_EVIDENCES_O_F_ATTRITION_I_N_THE.pdf",GENERAL,"Meyer",1924,"","FURTHER EVIDENCES O F ATTRITION I N THE","1924_Meyer_Unknown_Further Evidences O F Attrition I N the",0.75,high,pending
"Meyer_2012_Arthroscopy_Arthroscopic_Suture_Retrieval_A_Simple_Technique_That.pdf",GENERAL,"Meyer",2012,"Arthroscopy","Arthroscopic Suture Retrieval A Simple Technique That","2012_Meyer_Arthroscopy_Arthroscopic Suture Retrieval a Simple Technique",1.00,high,pending
"ModernNoncementedTKA_JAAOS.pdf",GENERAL,"ModernNoncementedTKA",2020,"JAAOS","Orthopaedic Advances","2020_ModernNoncementedTKA_JAAOS_Orthopaedic Advances",1.00,high,pending
"ModifiablePostopRiskFactorsforDelayedDischargeFollowingTKA_influenceofhypotensionandopioiduse.pdf",GENERAL,"Modifiable",2019,"JArthroplasty","influenceofhypotensionandopioiduse","2019_Modifiable_JArthroplasty_Influenceofhypotensionandopioiduse",1.00,high,pending
"ModularFlutedTitaniumStemsinRevisionTHA.pdf",GENERAL,"Sperring",,"JBJS","ModularFlutedTitaniumStemsinRevisionTHA","Unknown_Sperring_JBJS_Modular Fluted Titanium Stems in Revision Tha",0.75,high,pending
"MoMTHA_PatientEvalandTreatment.pdf",GENERAL,"Bolognesi",2015,"JAAOS","PatientEvalandTreatment","2015_Bolognesi_JAAOS_Patient Eval and Treatment",1.00,high,pending
"Moucha et al..pdf",GENERAL,"Weiser",2016,"JAAOS","Moucha et al.","2016_Weiser_JAAOS_Moucha Et Al.",1.00,high,pending
"Nabil_2020_JBJS_The_Biomaterials_of_Total.pdf",GENERAL,"Nabil",2020,"JBJS","The Biomaterials of Total","2020_Nabil_JBJS_The Biomaterials of Total",1.00,high,pending
"NavigationandRoboticsTHA.pdf",GENERAL,"Wasterlain",2017,"JBJS","NavigationandRoboticsTHA","2017_Wasterlain_JBJS_Navigation and Robotics Tha",1.00,high,pending
"NavigationandRoboticsTKA.pdf",GENERAL,"Wasterlain",2017,"JBJS","NavigationandRoboticsTKA","2017_Wasterlain_JBJS_Navigation and Robotics Tka",1.00,high,pending
"Neal_2019_AJSM_Presidential_Address_of_the_American.pdf",GENERAL,"Neal",2019,"AJSM","Presidential Address of the American","2019_Neal_AJSM_Presidential Address of the American",1.00,high,pending
"Nerve_Injuries_in_Total_Hip_Arthroplasty.3.pdf",GENERAL,"Nerve",1999,"in","Total Hip Arthroplasty.3","1999_Nerve_in_Total Hip Arthroplasty.3",1.00,high,pending
"NoDifferenceinDislocationSeeninAnteriorvsPosteriorApproach copy.pdf",GENERAL,"Maratt",2016,"JArthroplasty","NoDifferenceinDislocationSeeninAnteriorvsPosteriorApproach copy","2016_Maratt_JArthroplasty_No Difference in Dislocation Seen in Anteriorvs",1.00,high,pending
"NoDifferenceinDislocationSeeninAnteriorvsPosteriorApproach.pdf",GENERAL,"Maratt",2016,"JArthroplasty","NoDifferenceinDislocationSeeninAnteriorvsPosteriorApproach","2016_Maratt_JArthroplasty_No Difference in Dislocation Seen in Anteriorvs",1.00,high,pending
"Novel Developments in the Prevention, Diagnosis, and Treatment of Periprosthetic Joint Infections.pdf",GENERAL,"Prevention",2015,"JAAOS","Novel Developments in the Prevention, Diagnosis, and Treatment of Periprosthetic Joint Infections","2015_Prevention_JAAOS_Novel Developments in the Prevention Diagnosis",1.00,high,pending
"NovelOpioidSparingPainManagementProtocolFollowingTHA.pdf",GENERAL,"Padilla",2019,"JArthroplasty","NovelOpioidSparingPainManagementProtocolFollowingTHA","2019_Padilla_JArthroplasty_Novel Opioid Sparing Pa in Management Protocol",1.00,high,pending
"No_Difference_in_5_year_Clinical_or_Radiographic.20.pdf",GENERAL,"No",2020,"in","5 year Clinical or Radiographic.20","2020_No_in_5 Year Clinical or Radiographic.20",1.00,high,pending
"Open_Reduction_and_Internal_Fixation_of_the.17.pdf",GENERAL,"Open",2016,"and","Internal Fixation of the.17","2016_Open_and_Internal Fixation of The.17",1.00,high,pending
"Oral Multimodal Analgesia for Total Joint Arthroplasty (1).pdf",GENERAL,"Golladay",2017,"JArthroplasty","Oral Multimodal Analgesia for Total Joint Arthroplasty (1)","2017_Golladay_JArthroplasty_Oral Multimodal Analgesia for Total Joint",1.00,high,pending
"ORIF vs THA for Diplaced Femoral Neck Fractures.pdf",GENERAL,"",1994,"JBJS","ORIF vs THA for Diplaced Femoral Neck Fractures","1994_Unknown_JBJS_Orif vs Tha for Diplaced Femoral Neck Fractures",0.75,high,pending
"OsteolysisComplicationTKA.pdf",GENERAL,"Chambers",2016,"JBJS","OsteolysisComplicationTKA","2016_Chambers_JBJS_Osteolysis Complication Tka",1.00,high,pending
"Osteomyoplastic_2016_JAAOS_Osteomyoplastic_Transtibial.pdf",GENERAL,"Osteomyoplastic",2016,"JAAOS","Osteomyoplastic Transtibial","2016_Osteomyoplastic_JAAOS_Osteomyoplastic Transtibial",1.00,high,pending
"OTSR 2014 intraprosthetic dislocation rotating hinge knees, design.pdf",GENERAL,"",2014,"CORR","OTSR 2014 intraprosthetic dislocation rotating hinge knees, design","2014_Unknown_CORR_Otsr 2014 Intraprosthetic Dislocation Rotating",0.75,high,pending
"Outcomes of Computer-Assisted Surgery Compared with Conventional Instrumentation in 19,221 Total Knee Arthroplasties.pdf",GENERAL,"",2006,"JBJS","Outcomes of Computer Assisted Surgery Compared with Conventional Instrumentation in 19,221 Total Knee Arthroplasties","2006_Unknown_JBJS_Outcomes of Computer Assisted Surgery Compared",0.75,high,pending
"Overtraining_2022_Injury_Overtraining_Syndrome_Symptoms_and_Diagnosis_in_Athletes.pdf",GENERAL,"Overtraining",2022,"Injury","Overtraining Syndrome Symptoms and Diagnosis in Athletes","2022_Overtraining_Injury_Overtraining Syndrome Symptoms and Diagnosis in",1.00,high,pending
"Pagnano_EffectofSuperiorPlacementofAcetabularComponentonRateofLoosening.pdf",GENERAL,"Pagnano",1996,"CORR","EffectofSuperiorPlacementofAcetabularComponentonRateofLoosening","1996_Pagnano_CORR_Effect of Superior Placement of Acetabular",1.00,high,pending
"PatellarClunkSyndrome.pdf",GENERAL,"Costanzo",2014,"JArthroplasty","PatellarClunkSyndrome","2014_Costanzo_JArthroplasty_Patellar Clunk Syndrome",1.00,high,pending
"PelvicDiscontinuityJAAOS.pdf",GENERAL,"",2017,"JAAOS","PelvicDiscontinuityJAAOS","2017_Unknown_JAAOS_Pelvic Discontinuity Jaaos",0.75,high,pending
"PeriopConsiderationtoreduceInfectionTJA_JBJS.pdf",GENERAL,"Issack",2018,"JBJS","Perioperative Considerations to Reduce","2018_Issack_JBJS_Perioperative Considerations to Reduce",1.00,high,pending
"PeriopOptimization_TJA.pdf",GENERAL,"Feng",2018,"JBJS","Team Approach: Perioperative","2018_Feng_JBJS_Team Approach- Perioperative",1.00,high,pending
"PerioppainManagementTJA.pdf",GENERAL,"Pepper",2018,"JArthroplasty","PerioppainManagementTJA","2018_Pepper_JArthroplasty_Perioppa in Management Tja",1.00,high,pending
"PeriprostheticFractures.pdf",GENERAL,"Masri",2004,"","PeriprostheticFractures","2004_Masri_Unknown_Periprosthetic Fractures",0.75,high,pending
"PeriprostheticFxAroundWellFixedstem.pdf",GENERAL,"Duncan",2009,"JAAOS","PeriprostheticFxAroundWellFixedstem","2009_Duncan_JAAOS_Periprosthetic Fx Around Well Fixedstem",1.00,high,pending
"Philippe_2010_JSES_The_effect_of_component_positioning_on_intrinsic_stability.pdf",GENERAL,"Philippe",2010,"JSES","The effect of component positioning on intrinsic stability","2010_Philippe_JSES_The Effect of Component Positioning on Intrinsic",1.00,high,pending
"Physiology_2006_JBJS_COPYRIGHT_©_2006_BY_THE_JOURNAL_OF_BONE_AND_JOINT_SURGERY,_INCORPORATED.pdf",GENERAL,"Physiology",2006,"JBJS","COPYRIGHT © 2006 BY THE JOURNAL OF BONE AND JOINT SURGERY, INCORPORATED","2006_Physiology_JBJS_Copyright © 2006 by the Journal of Bone and Joint",1.00,high,pending
